student_id,item_id,score
1,1,0
1,2,0
1,3,0
1,4,1
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,1
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
2,1,1
2,2,0
2,3,1
2,4,0
2,5,1
2,6,0
2,7,0
2,8,1
2,9,0
2,10,0
2,11,1
2,12,1
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
3,1,0
3,2,1
3,3,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,1
3,10,1
3,11,0
3,12,1
3,13,1
3,14,0
3,15,1
3,16,0
3,17,0
4,1,0
4,2,1
4,3,1
4,4,0
4,5,1
4,6,1
4,7,1
4,8,0
4,9,0
4,10,1
4,11,0
4,12,1
4,13,1
4,14,0
4,15,0
4,16,0
4,17,0
5,1,0
5,2,1
5,3,1
5,4,0
5,5,0
5,6,0
5,7,1
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,1
5,14,0
5,15,0
5,16,0
5,17,0
6,1,0
6,2,0
6,3,1
6,4,1
6,5,0
6,6,0
6,7,0
6,8,1
6,9,1
6,10,0
6,11,0
6,12,1
6,13,1
6,14,0
6,15,1
6,16,0
6,17,0
7,1,1
7,2,1
7,3,0
7,4,0
7,5,1
7,6,1
7,7,1
7,8,1
7,9,1
7,10,1
7,11,1
7,12,0
7,13,0
7,14,1
7,15,1
7,16,0
7,17,1
8,1,0
8,2,1
8,3,0
8,4,0
8,5,0
8,6,0
8,7,1
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,17,0
9,1,1
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,1
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,0
9,16,0
9,17,0
10,1,1
10,2,0
10,3,1
10,4,0
10,5,0
10,6,1
10,7,0
10,8,1
10,9,0
10,10,1
10,11,0
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,17,0
11,1,1
11,2,1
11,3,1
11,4,1
11,5,0
11,6,0
11,7,1
11,8,1
11,9,0
11,10,0
11,11,1
11,12,0
11,13,1
11,14,0
11,15,0
11,16,0
11,17,0
12,1,0
12,2,1
12,3,0
12,4,0
12,5,0
12,6,0
12,7,0
12,8,1
12,9,0
12,10,0
12,11,1
12,12,0
12,13,1
12,14,0
12,15,1
12,16,0
12,17,0
13,1,1
13,2,1
13,3,0
13,4,1
13,5,1
13,6,0
13,7,0
13,8,1
13,9,1
13,10,0
13,11,0
13,12,0
13,13,0
13,14,0
13,15,0
13,16,0
13,17,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,1
14,6,1
14,7,0
14,8,0
14,9,0
14,10,0
14,11,1
14,12,0
14,13,0
14,14,0
14,15,0
14,16,0
14,17,0
15,1,1
15,2,0
15,3,1
15,4,1
15,5,1
15,6,0
15,7,1
15,8,0
15,9,0
15,10,1
15,11,1
15,12,0
15,13,0
15,14,1
15,15,0
15,16,0
15,17,0
16,1,1
16,2,0
16,3,1
16,4,1
16,5,1
16,6,1
16,7,1
16,8,0
16,9,0
16,10,0
16,11,1
16,12,1
16,13,1
16,14,0
16,15,0
16,16,0
16,17,0
17,1,1
17,2,1
17,3,1
17,4,1
17,5,0
17,6,1
17,7,1
17,8,1
17,9,1
17,10,1
17,11,0
17,12,1
17,13,1
17,14,0
17,15,0
17,16,0
17,17,0
18,1,0
18,2,0
18,3,0
18,4,0
18,5,0
18,6,1
18,7,0
18,8,1
18,9,0
18,10,1
18,11,1
18,12,1
18,13,0
18,14,1
18,15,1
18,16,0
18,17,0
19,1,1
19,2,1
19,3,1
19,4,0
19,5,0
19,6,0
19,7,0
19,8,1
19,9,0
19,10,0
19,11,1
19,12,0
19,13,0
19,14,1
19,15,0
19,16,1
19,17,0
20,1,0
20,2,0
20,3,0
20,4,0
20,5,0
20,6,1
20,7,0
20,8,0
20,9,0
20,10,1
20,11,1
20,12,1
20,13,1
20,14,0
20,15,0
20,16,0
20,17,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0
21,6,0
21,7,0
21,8,1
21,9,0
21,10,0
21,11,0
21,12,0
21,13,0
21,14,0
21,15,0
21,16,0
21,17,0
22,1,1
22,2,1
22,3,0
22,4,0
22,5,0
22,6,1
22,7,0
22,8,1
22,9,0
22,10,1
22,11,0
22,12,1
22,13,0
22,14,0
22,15,0
22,16,0
22,17,0
23,1,0
23,2,0
23,3,0
23,4,1
23,5,0
23,6,0
23,7,1
23,8,1
23,9,0
23,10,1
23,11,0
23,12,0
23,13,0
23,14,0
23,15,0
23,16,0
23,17,0
24,1,0
24,2,1
24,3,0
24,4,1
24,5,0
24,6,1
24,7,0
24,8,0
24,9,0
24,10,0
24,11,1
24,12,0
24,13,0
24,14,0
24,15,0
24,16,0
24,17,0
25,1,1
25,2,0
25,3,0
25,4,0
25,5,1
25,6,1
25,7,0
25,8,1
25,9,0
25,10,0
25,11,1
25,12,1
25,13,1
25,14,0
25,15,0
25,16,0
25,17,0
26,1,0
26,2,1
26,3,0
26,4,0
26,5,0
26,6,0
26,7,0
26,8,0
26,9,0
26,10,0
26,11,0
26,12,0
26,13,0
26,14,0
26,15,1
26,16,0
26,17,0
27,1,1
27,2,0
27,3,1
27,4,1
27,5,0
27,6,1
27,7,0
27,8,1
27,9,1
27,10,0
27,11,0
27,12,0
27,13,0
27,14,1
27,15,0
27,16,0
27,17,0
28,1,0
28,2,1
28,3,0
28,4,0
28,5,1
28,6,0
28,7,0
28,8,1
28,9,0
28,10,1
28,11,1
28,12,1
28,13,0
28,14,0
28,15,0
28,16,0
28,17,0
29,1,1
29,2,1
29,3,1
29,4,0
29,5,0
29,6,1
29,7,0
29,8,1
29,9,1
29,10,1
29,11,0
29,12,1
29,13,1
29,14,1
29,15,1
29,16,1
29,17,0
30,1,0
30,2,0
30,3,0
30,4,1
30,5,0
30,6,0
30,7,1
30,8,1
30,9,0
30,10,0
30,11,0
30,12,0
30,13,1
30,14,0
30,15,0
30,16,0
30,17,0
31,1,0
31,2,1
31,3,0
31,4,0
31,5,0
31,6,0
31,7,0
31,8,1
31,9,0
31,10,0
31,11,0
31,12,1
31,13,0
31,14,0
31,15,1
31,16,0
31,17,0
32,1,1
32,2,0
32,3,0
32,4,1
32,5,0
32,6,0
32,7,0
32,8,0
32,9,0
32,10,0
32,11,0
32,12,0
32,13,0
32,14,0
32,15,0
32,16,0
32,17,0
33,1,1
33,2,0
33,3,1
33,4,1
33,5,1
33,6,0
33,7,1
33,8,0
33,9,0
33,10,0
33,11,1
33,12,0
33,13,0
33,14,0
33,15,0
33,16,0
33,17,0
34,1,1
34,2,1
34,3,0
34,4,0
34,5,0
34,6,0
34,7,1
34,8,0
34,9,0
34,10,1
34,11,0
34,12,1
34,13,0
34,14,0
34,15,0
34,16,0
34,17,0
35,1,1
35,2,1
35,3,1
35,4,1
35,5,1
35,6,1
35,7,0
35,8,0
35,9,0
35,10,1
35,11,0
35,12,0
35,13,0
35,14,1
35,15,0
35,16,0
35,17,0
36,1,0
36,2,1
36,3,0
36,4,0
36,5,0
36,6,0
36,7,1
36,8,1
36,9,0
36,10,1
36,11,0
36,12,0
36,13,0
36,14,1
36,15,0
36,16,0
36,17,0
37,1,1
37,2,0
37,3,0
37,4,0
37,5,1
37,6,1
37,7,1
37,8,1
37,9,0
37,10,1
37,11,1
37,12,1
37,13,1
37,14,1
37,15,0
37,16,0
37,17,1
38,1,0
38,2,0
38,3,0
38,4,0
38,5,1
38,6,0
38,7,0
38,8,1
38,9,0
38,10,1
38,11,0
38,12,1
38,13,0
38,14,0
38,15,0
38,16,0
38,17,1
39,1,1
39,2,0
39,3,0
39,4,0
39,5,0
39,6,0
39,7,0
39,8,1
39,9,0
39,10,0
39,11,0
39,12,1
39,13,1
39,14,1
39,15,0
39,16,0
39,17,0
40,1,1
40,2,0
40,3,0
40,4,0
40,5,1
40,6,1
40,7,1
40,8,1
40,9,1
40,10,0
40,11,0
40,12,0
40,13,1
40,14,0
40,15,1
40,16,0
40,17,0
41,1,0
41,2,0
41,3,0
41,4,0
41,5,0
41,6,0
41,7,0
41,8,0
41,9,0
41,10,0
41,11,0
41,12,0
41,13,0
41,14,0
41,15,0
41,16,0
41,17,0
42,1,1
42,2,0
42,3,1
42,4,1
42,5,1
42,6,0
42,7,1
42,8,1
42,9,0
42,10,0
42,11,0
42,12,1
42,13,1
42,14,0
42,15,0
42,16,0
42,17,0
43,1,0
43,2,0
43,3,0
43,4,1
43,5,0
43,6,0
43,7,0
43,8,1
43,9,0
43,10,0
43,11,0
43,12,0
43,13,0
43,14,1
43,15,0
43,16,0
43,17,1
44,1,1
44,2,0
44,3,1
44,4,0
44,5,0
44,6,1
44,7,1
44,8,1
44,9,1
44,10,0
44,11,1
44,12,0
44,13,1
44,14,0
44,15,0
44,16,1
44,17,0
45,1,1
45,2,1
45,3,1
45,4,1
45,5,1
45,6,1
45,7,1
45,8,0
45,9,1
45,10,1
45,11,1
45,12,1
45,13,0
45,14,1
45,15,1
45,16,0
45,17,0
46,1,0
46,2,1
46,3,0
46,4,1
46,5,0
46,6,0
46,7,1
46,8,0
46,9,0
46,10,1
46,11,0
46,12,0
46,13,0
46,14,0
46,15,0
46,16,0
46,17,0
47,1,1
47,2,0
47,3,1
47,4,0
47,5,0
47,6,0
47,7,0
47,8,0
47,9,0
47,10,1
47,11,0
47,12,0
47,13,1
47,14,1
47,15,0
47,16,0
47,17,0
48,1,1
48,2,1
48,3,1
48,4,1
48,5,0
48,6,0
48,7,1
48,8,1
48,9,0
48,10,0
48,11,0
48,12,0
48,13,1
48,14,0
48,15,0
48,16,0
48,17,0
49,1,0
49,2,1
49,3,0
49,4,1
49,5,1
49,6,1
49,7,1
49,8,1
49,9,1
49,10,1
49,11,1
49,12,0
49,13,1
49,14,1
49,15,1
49,16,0
49,17,1
50,1,0
50,2,0
50,3,1
50,4,1
50,5,0
50,6,1
50,7,0
50,8,0
50,9,0
50,10,0
50,11,0
50,12,0
50,13,0
50,14,0
50,15,0
50,16,0
50,17,0
51,1,1
51,2,1
51,3,1
51,4,0
51,5,0
51,6,0
51,7,1
51,8,0
51,9,0
51,10,0
51,11,1
51,12,1
51,13,0
51,14,0
51,15,0
51,16,0
51,17,0
52,1,0
52,2,0
52,3,0
52,4,1
52,5,0
52,6,0
52,7,1
52,8,1
52,9,1
52,10,1
52,11,0
52,12,0
52,13,0
52,14,0
52,15,0
52,16,0
52,17,0
53,1,0
