student_id,gender,region,money
1,1,1,1
2,0,1,1
3,0,0,0
4,0,0,1
5,1,1,0
6,0,1,2
7,1,0,1
8,1,1,2
9,0,0,1
10,1,0,2
11,0,0,1
12,1,1,1
13,1,1,0
14,0,1,1
15,0,1,0
16,0,0,0
17,0,1,1
18,0,1,2
19,1,0,0
20,0,1,1
21,1,1,1
22,1,0,1
23,0,1,1
24,0,0,1
25,1,1,2
26,0,0,1
27,0,0,1
28,0,1,0
29,1,0,1
30,1,0,1
31,0,1,0
32,0,0,1
33,0,1,1
34,1,1,2
35,0,0,1
36,1,1,0
37,0,1,2
38,0,0,0
39,1,1,2
40,1,1,2
41,0,1,1
42,0,1,2
43,1,1,3
44,0,1,0
45,0,0,2
46,1,1,2
47,0,1,1
48,1,1,2
49,1,1,1
50,0,0,2
51,1,1,1
52,0,0,1
53,1,1,2
54,1,1,0
55,0,1,1
56,0,0,2
57,1,0,0
58,1,0,1
59,0,0,0
60,1,1,2
61,1,1,1
62,0,0,1
63,1,0,0
64,1,0,1
65,1,0,1
66,0,0,1
67,0,0,3
68,0,1,1
69,0,0,2
70,0,0,0
71,1,1,1
72,0,1,1
73,0,0,1
74,1,1,2
75,1,1,1
76,0,1,2
77,1,0,2
78,0,1,1
79,0,1,1
80,0,0,1
81,1,0,1
82,1,1,1
83,1,1,1
84,0,1,0
85,0,1,1
86,0,1,0
87,1,1,0
88,1,1,3
89,0,1,3
90,0,1,3
91,0,1,2
92,1,0,0
93,0,0,2
94,1,1,0
95,1,1,0
96,1,1,1
97,0,1,1
98,0,1,1
99,1,0,1
100,1,0,0
101,0,1,1
102,1,1,1
103,1,1,0
104,1,0,1
105,0,0,0
106,1,1,0
107,1,1,1
108,1,0,1
109,1,0,0
110,1,0,1
111,1,0,1
112,1,1,2
113,1,0,1
114,0,0,2
115,1,1,0
116,1,0,2
117,0,0,1
118,1,1,1
119,0,0,3
120,0,0,1
121,0,1,1
122,1,0,2
123,0,0,3
124,0,0,1
125,1,0,0
126,1,0,1
127,0,0,1
128,1,1,3
129,0,1,2
130,1,1,1
131,1,0,1
132,1,1,2
133,1,1,1
134,0,0,1
135,1,1,1
136,1,0,0
137,0,1,2
138,1,0,3
139,0,0,0
140,1,0,1
141,1,1,2
142,1,1,2
143,1,1,2
144,0,0,1
145,1,1,1
146,0,1,2
147,0,0,1
148,1,0,0
149,0,0,2
150,1,1,3
151,1,1,0
152,1,0,0
153,0,0,0
154,1,1,0
155,1,0,2
156,0,1,1
157,0,1,2
158,0,0,1
159,0,1,3
160,0,0,0
161,0,1,0
162,0,1,0
163,0,0,0
164,1,0,2
165,0,0,0
166,1,0,0
167,0,0,1
168,0,1,1
169,0,0,1
170,0,1,1
171,0,0,2
172,1,1,2
173,0,0,1
174,1,0,0
175,1,0,0
176,1,1,1
177,1,1,0
178,1,1,1
179,0,1,1
180,1,1,2
181,1,1,0
182,1,0,1
183,0,1,3
184,0,1,1
185,1,0,1
186,0,0,1
187,1,1,2
188,1,0,1
189,0,0,0
190,1,0,1
191,0,1,2
192,1,1,1
193,1,0,1
194,0,1,3
195,1,0,0
196,0,0,0
197,1,0,1
198,0,1,1
199,0,0,0
200,1,1,2
201,1,1,0
202,1,1,2
203,1,0,0
204,1,0,1
205,0,0,0
206,1,0,0
207,1,0,0
208,0,1,0
209,0,1,1
210,1,0,0
211,1,0,1
212,1,0,0
213,1,1,2
214,1,0,0
215,0,1,1
216,1,0,1
217,0,1,1
218,0,0,1
219,0,0,0
220,0,0,1
221,0,1,3
222,0,1,0
223,0,0,1
224,0,0,1
225,1,1,1
226,1,1,1
227,1,1,0
228,1,1,1
229,0,1,2
230,0,1,1
231,1,1,1
232,0,1,3
233,1,0,1
234,0,0,1
235,0,0,1
236,0,0,1
237,1,1,1
238,1,0,1
239,1,1,1
240,1,1,1
241,0,0,0
242,0,1,2
243,1,1,2
244,0,1,0
245,1,0,0
246,1,0,2
247,1,1,0
248,1,1,1
249,1,0,3
250,1,0,1
251,1,0,0
252,1,0,0
253,1,1,1
254,0,0,3
255,0,1,0
256,1,1,0
257,1,0,0
258,1,0,1
259,0,1,1
260,0,0,1
261,0,0,1
262,1,0,2
263,0,0,1
264,1,0,1
265,1,0,2
266,1,1,2
267,1,1,0
268,0,0,1
269,0,0,0
270,1,0,2
271,1,0,1
272,1,0,1
273,0,1,2
274,1,1,1
275,1,0,1
276,1,0,1
277,1,0,2
278,1,0,1
279,0,1,2
280,0,1,2
281,1,0,0
282,0,0,1
283,1,0,2
284,1,1,2
285,1,0,2
286,0,1,1
287,0,1,1
288,1,1,3
289,1,1,1
290,0,0,0
291,0,1,2
292,1,0,1
293,0,0,2
294,0,0,0
295,1,0,1
296,0,0,3
297,0,1,2
298,1,0,1
299,1,1,0
300,0,0,0
301,1,0,1
302,0,0,3
303,1,1,0
304,0,1,1
305,1,0,1
306,1,0,1
307,0,0,2
308,1,1,2
309,1,1,2
310,0,0,1
311,0,1,1
312,1,1,1
313,0,0,2
314,1,0,0
315,1,1,1
316,0,1,0
317,1,0,3
318,1,0,0
319,1,1,1
320,0,0,0
321,0,1,1
322,0,0,0
323,0,0,0
324,0,1,0
325,0,1,0
326,1,1,2
327,0,1,2
328,0,0,0
329,0,1,1
330,1,0,3
331,0,0,1
332,1,1,1
333,0,1,1
334,1,1,1
335,0,1,0
336,1,1,0
337,1,1,1
338,1,0,1
339,1,1,1
340,1,0,2
341,1,1,1
342,0,0,1
343,1,0,2
344,1,1,2
345,1,0,1
346,0,0,2
347,1,0,1
348,1,1,0
349,0,1,3
