student_id,gender,age,region,money
0,0,17,2,2
1,1,14,0,0
2,1,17,0,1
3,0,17,2,0
4,0,13,3,2
5,1,16,0,4
6,0,12,0,1
7,0,14,1,4
8,1,17,2,3
9,0,13,1,3
10,0,15,2,1
11,0,15,1,4
12,1,17,1,2
13,0,18,2,3
14,0,18,1,0
15,0,12,1,3
16,0,14,0,4
17,1,17,1,1
18,1,14,0,1
19,0,14,0,1
20,0,16,2,0
21,0,18,2,0
22,1,15,0,2
23,0,15,2,1
24,1,17,1,0
25,1,13,1,0
26,1,13,1,1
27,1,14,0,0
28,0,18,2,4
29,0,18,0,4
30,0,13,3,0
31,0,18,2,2
32,0,15,0,4
33,0,15,0,4
34,0,15,3,1
35,0,15,2,4
36,0,15,0,0
37,1,13,3,4
38,0,13,3,4
39,0,16,0,0
40,1,18,2,2
41,1,18,2,0
42,1,13,2,0
43,1,17,0,2
44,1,17,0,4
45,0,17,0,3
46,1,13,2,3
47,1,16,2,3
48,1,15,0,4
49,0,13,1,1
50,1,13,2,2
51,0,14,2,1
52,1,17,1,0
53,1,16,1,3
54,1,13,3,1
55,0,15,2,2
56,0,17,0,0
57,0,15,0,1
58,1,16,0,0
59,0,17,0,4
60,0,16,1,0
61,0,12,2,4
62,1,18,1,3
63,0,12,2,0
64,0,15,1,0
65,0,17,2,2
66,1,13,2,0
67,0,17,2,3
68,1,17,2,2
69,0,18,1,3
70,1,14,0,0
71,1,14,0,2
72,0,16,1,0
73,1,15,2,4
74,1,18,0,1
75,0,13,3,3
76,0,16,2,0
77,1,16,2,2
78,1,12,3,3
79,0,14,3,3
80,0,12,1,2
81,0,16,0,1
82,1,15,2,4
83,1,12,0,4
84,1,14,2,1
85,0,13,0,2
86,0,15,2,3
87,0,15,3,3
88,1,18,3,4
89,0,16,1,1
90,0,16,1,4
91,0,13,3,4
92,0,12,3,3
93,1,14,3,3
94,1,13,0,4
95,1,14,3,3
96,1,13,3,1
97,0,14,2,1
98,1,16,1,1
99,1,18,2,3
100,0,17,1,3
101,1,15,0,0
102,1,18,1,2
103,0,15,2,0
104,1,16,2,0
105,0,13,0,3
106,0,14,3,0
107,0,18,1,4
108,0,15,2,0
109,0,15,3,3
110,0,12,0,3
111,0,18,1,2
112,1,18,1,3
113,1,15,0,2
114,0,15,2,3
115,0,17,3,4
116,1,12,1,1
117,0,18,1,0
118,0,18,1,3
119,0,18,2,1
120,0,16,1,4
121,1,15,1,3
122,1,12,3,1
123,0,17,3,4
124,0,14,3,0
125,0,17,3,0
126,0,15,1,2
127,1,14,3,0
128,0,16,2,0
129,0,14,3,4
130,1,13,3,3
131,0,13,3,1
132,0,14,0,1
133,1,12,0,4
134,0,17,3,1
135,0,16,2,3
136,1,13,0,3
137,0,12,1,0
138,1,17,0,4
139,0,14,1,3
140,0,15,1,3
141,0,16,0,4
142,0,12,1,2
143,1,15,3,1
144,0,13,2,0
145,1,14,1,4
146,0,12,0,2
147,0,14,1,2
148,0,13,1,0
149,0,12,3,1
150,0,16,2,2
151,0,13,3,4
152,1,18,2,3
153,1,13,1,3
154,0,14,0,2
155,0,14,1,0
156,0,16,3,2
157,0,17,3,1
158,0,13,0,0
159,1,18,0,4
160,0,13,0,0
161,1,17,0,0
162,0,16,0,4
163,1,13,2,3
164,1,13,2,2
165,0,18,0,1
166,1,16,1,2
167,1,17,1,3
168,1,18,0,2
169,1,14,0,1
170,0,18,2,0
171,0,18,3,0
172,1,14,3,2
173,0,17,1,2
174,0,14,3,2
175,1,17,0,1
176,1,17,2,4
177,1,13,2,4
178,1,15,3,2
179,0,17,0,3
180,1,14,3,0
181,1,13,0,1
182,0,18,2,1
183,0,14,2,1
184,1,12,2,0
185,1,13,2,3
186,0,15,1,1
187,0,14,3,0
188,1,13,1,1
189,1,18,1,1
190,1,18,2,1
191,0,18,0,1
192,0,18,2,3
193,0,18,1,2
194,0,12,2,4
195,0,18,1,1
196,1,18,3,0
197,0,13,2,0
198,1,13,1,3
199,1,15,3,0
200,1,17,3,2
201,1,17,2,4
202,1,15,3,4
203,0,12,0,3
204,1,14,0,0
205,0,14,2,4
206,0,13,2,3
207,1,18,3,0
208,0,15,3,4
209,1,12,2,3
210,1,13,3,1
211,0,12,0,3
212,1,18,3,0
213,1,12,1,4
214,1,14,2,1
215,0,17,3,0
216,1,18,0,3
217,0,15,3,3
218,1,14,1,0
219,1,12,0,2
220,1,18,2,1
221,0,13,1,3
222,1,16,0,4
223,1,18,2,3
224,1,13,3,0
225,1,14,3,0
226,0,12,2,0
227,0,17,1,4
228,0,13,0,4
229,0,14,3,1
230,1,18,3,2
231,1,18,3,0
232,0,14,0,0
233,1,13,2,0
234,1,14,1,3
235,1,13,3,3
236,0,18,2,3
237,0,17,2,4
238,1,18,3,1
239,1,12,0,3
240,1,12,3,2
241,0,18,1,0
242,1,17,3,3
243,0,13,0,0
244,0,13,0,3
245,1,18,3,2
246,1,13,1,4
247,0,13,0,1
248,0,18,1,3
249,1,16,1,4
250,1,13,0,2
251,1,16,3,4
252,0,15,0,2
253,0,17,3,4
254,1,16,3,1
255,0,17,3,3
256,1,18,0,2
257,0,18,2,4
258,1,17,0,1
259,1,16,2,2
260,0,15,0,3
261,1,16,2,3
262,0,17,2,1
263,0,14,0,3
264,0,14,2,0
265,0,13,3,1
266,1,17,0,0
267,0,12,2,4
268,1,12,2,1
269,0,18,0,2
270,0,12,1,4
271,1,15,2,1
272,1,14,0,0
273,0,13,3,1
274,0,16,1,0
275,1,12,2,1
276,0,14,2,0
277,1,12,3,0
278,0,15,0,1
279,1,12,3,0
280,0,14,1,0
281,0,15,0,1
282,0,16,3,4
283,0,13,0,3
284,0,16,2,2
285,0,14,2,2
286,0,17,3,2
287,0,16,1,3
288,0,15,1,4
289,1,17,3,1
290,0,17,3,2
291,0,14,0,4
292,1,16,1,0
293,0,14,1,3
294,0,12,3,2
295,0,12,3,3
296,0,16,0,3
297,1,16,1,3
298,0,17,2,0
299,1,18,2,3
300,1,14,0,4
301,0,15,2,0
302,0,17,2,2
303,1,18,1,4
304,0,13,3,3
305,0,18,0,1
306,1,15,0,1
307,0,14,0,0
308,0,13,0,3
309,0,13,3,1
310,0,16,3,1
311,1,16,0,0
312,0,16,0,3
313,1,18,3,2
314,1,18,0,1
315,1,13,0,0
316,1,14,2,0
317,1,14,2,0
318,0,14,0,4
319,0,13,3,4
320,1,13,3,2
321,0,16,3,3
322,0,14,2,2
323,1,13,3,1
324,1,15,0,2
325,0,16,0,3
326,0,14,0,1
327,1,13,0,2
328,1,15,2,0
329,1,12,0,0
330,0,16,0,4
331,0,17,1,0
332,0,15,3,2
333,1,16,2,3
334,1,17,3,0
335,0,15,1,1
336,1,15,0,4
337,1,14,1,0
338,0,18,2,0
339,0,17,0,2
340,0,17,0,4
341,0,14,1,4
342,1,18,3,0
343,1,18,3,0
344,1,15,1,0
345,0,17,0,1
346,0,12,2,0
347,0,13,0,0
348,0,16,2,0
349,0,14,0,4
350,0,12,3,4
351,1,12,0,4
352,0,15,3,0
353,0,17,1,2
354,0,15,3,0
355,0,17,2,2
356,0,14,0,2
357,0,15,0,3
358,1,13,2,4
359,1,17,2,3
360,1,15,2,4
361,1,13,3,1
362,1,17,3,2
363,0,12,0,1
364,0,17,3,1
365,1,18,0,0
366,1,12,2,3
367,1,13,2,4
368,0,12,1,0
369,1,18,3,2
370,1,16,3,4
371,1,12,0,4
372,1,18,3,2
373,0,18,1,4
374,0,15,0,4
375,1,14,1,1
376,1,17,2,2
377,1,17,1,1
378,1,16,1,2
379,0,14,0,1
380,1,17,2,0
381,1,14,1,3
382,0,13,0,0
383,1,15,0,0
384,0,16,1,3
385,1,13,2,3
386,1,13,1,4
387,1,12,0,2
388,0,12,1,3
389,0,13,0,0
390,1,13,3,1
391,1,13,1,3
392,1,13,1,1
393,0,15,0,4
394,1,12,3,0
395,1,14,2,0
396,1,14,3,0
397,0,15,0,3
398,0,18,1,4
399,0,17,2,0
400,0,16,0,1
401,0,15,0,4
402,1,18,3,1
