student_id,gender,age,region,money
0,1,16,0,0
1,1,18,2,3
2,0,17,2,0
3,1,13,1,4
4,1,16,2,0
5,0,12,0,1
6,0,14,0,2
7,0,17,0,3
8,0,16,1,4
9,1,12,2,0
10,1,16,0,4
11,1,18,0,2
12,0,13,0,0
13,0,12,0,1
14,0,14,0,0
15,1,12,3,1
16,0,17,3,0
17,0,16,3,3
18,1,15,3,1
19,1,14,0,4
20,1,14,3,3
21,1,16,3,1
22,1,15,2,1
23,1,13,2,1
24,1,17,3,2
25,1,18,1,0
26,1,12,3,1
27,1,14,1,4
28,0,14,1,1
29,0,18,3,0
30,1,15,1,4
31,1,12,3,1
32,1,13,2,3
33,1,16,2,4
34,0,12,3,0
35,0,12,0,3
36,0,17,2,0
37,1,17,3,2
38,1,16,3,1
39,0,15,0,1
40,1,15,3,3
41,1,17,2,2
42,0,18,0,2
43,1,12,2,3
44,1,14,2,4
45,0,13,1,0
46,1,15,3,0
47,1,16,1,1
48,1,15,0,2
49,0,13,2,0
50,1,14,1,2
51,1,18,0,2
52,0,12,3,4
53,1,12,2,0
54,0,12,2,2
55,1,17,0,4
56,0,13,1,4
57,1,16,2,3
58,1,15,1,4
59,1,18,2,2
60,1,15,0,2
61,0,16,1,3
62,0,13,1,1
63,0,18,3,0
64,0,13,0,3
65,0,17,2,2
66,0,17,1,0
67,1,18,2,2
68,0,15,0,4
69,0,16,1,3
70,1,15,2,4
71,1,14,3,0
72,0,17,0,0
73,1,14,2,0
74,1,16,1,1
75,1,13,3,2
76,0,13,0,3
77,0,14,3,1
78,1,14,1,3
79,1,16,3,3
80,0,17,1,2
81,1,12,0,3
82,0,16,1,1
83,0,16,2,2
84,0,15,1,4
85,0,18,3,4
86,0,15,1,3
87,0,18,3,3
88,1,16,1,4
89,1,13,3,1
90,0,13,3,4
91,1,18,3,0
92,1,16,0,0
93,0,13,0,0
94,0,16,1,4
95,1,12,3,0
96,1,17,0,2
97,0,17,3,2
98,1,15,2,3
99,0,13,1,4
100,0,12,3,4
101,0,14,3,4
102,0,13,1,2
103,1,15,1,2
104,1,17,2,0
105,0,18,0,1
106,1,14,3,1
107,1,13,3,1
108,1,16,0,4
109,0,15,2,1
110,1,14,2,1
111,1,14,3,2
112,1,15,0,4
113,0,14,1,0
114,0,18,2,1
115,1,17,2,0
116,1,17,1,2
117,0,18,3,3
118,0,12,0,0
119,1,16,3,0
120,0,12,0,1
121,1,17,2,3
122,0,13,3,4
123,1,14,2,3
124,1,14,0,2
125,0,14,0,0
126,1,14,3,0
127,0,16,2,3
128,0,14,3,1
129,1,16,3,2
130,1,15,3,3
131,1,17,1,0
132,0,13,2,3
133,0,15,3,3
134,1,13,0,4
135,0,12,3,0
136,0,15,0,2
137,1,16,1,1
138,1,14,2,0
139,1,12,3,3
140,0,13,0,2
141,0,13,2,2
142,1,13,3,2
143,1,12,1,0
144,0,15,3,1
145,1,17,0,2
146,1,12,3,1
147,0,17,3,3
148,1,16,0,0
149,0,13,1,3
150,0,15,1,2
151,0,14,1,3
152,0,14,3,3
153,0,15,2,2
154,0,14,1,2
155,1,17,0,1
156,0,13,3,0
157,0,14,3,3
158,0,14,0,1
159,0,13,2,2
160,0,18,2,4
161,1,13,3,0
162,0,16,2,3
163,0,13,1,3
164,0,12,2,1
165,1,18,2,1
166,1,15,1,4
167,0,14,0,2
168,1,16,0,0
169,1,16,3,1
170,1,16,0,4
171,0,14,1,0
172,1,18,0,2
173,1,15,0,3
174,1,13,0,1
175,1,14,1,2
176,0,13,2,0
177,1,14,3,4
178,1,12,1,1
179,0,12,1,0
180,1,13,0,2
181,1,13,2,1
182,0,18,0,2
183,0,17,1,3
184,0,12,3,2
185,0,15,0,4
186,0,12,0,1
187,1,12,0,4
188,1,16,1,3
189,1,12,1,4
190,1,18,1,0
191,1,13,0,0
192,1,12,1,4
193,0,13,2,2
194,1,12,1,2
195,1,18,1,4
196,0,14,3,2
197,1,15,3,2
198,1,12,3,0
199,1,17,1,4
200,1,14,2,2
201,0,12,3,0
202,0,18,0,3
203,1,16,2,1
204,1,15,3,1
205,1,16,0,4
206,0,13,2,4
207,1,13,3,0
208,1,13,0,0
209,0,17,1,1
210,0,15,2,3
211,0,17,3,3
212,0,12,0,3
213,1,13,3,0
214,0,17,2,3
215,0,18,3,1
216,0,18,0,1
217,0,13,2,1
218,1,17,3,1
219,0,18,1,3
220,0,18,3,0
221,0,16,3,1
222,1,14,0,4
223,0,12,3,3
224,0,14,2,3
225,1,15,3,1
226,0,13,3,2
227,0,14,3,4
228,0,13,3,0
229,0,17,2,4
230,1,16,0,0
231,1,16,1,2
232,0,14,3,3
233,1,14,3,2
234,0,15,1,4
235,0,13,3,0
236,0,18,0,4
237,0,12,3,0
238,0,18,1,3
239,0,13,0,3
240,1,17,1,4
241,0,13,3,0
242,1,13,1,4
243,0,15,2,1
244,0,17,2,1
245,1,17,1,3
246,1,15,3,1
247,0,12,2,4
248,0,17,3,0
249,1,15,3,1
250,0,17,0,2
251,0,17,0,1
252,0,18,3,2
253,0,17,1,2
254,1,13,2,3
255,1,12,3,4
256,1,18,0,1
257,1,13,2,1
258,0,13,3,3
259,0,18,0,1
260,1,18,1,0
261,0,16,1,4
262,0,18,2,0
263,1,17,3,0
264,1,17,1,2
265,1,14,2,0
266,0,15,3,3
267,0,14,2,2
268,0,14,3,2
269,1,15,3,2
270,0,16,3,2
271,1,14,2,3
272,0,18,3,2
273,0,16,0,4
274,1,13,3,1
275,0,13,3,3
276,0,13,0,3
277,1,18,0,1
278,1,13,2,3
279,0,16,1,3
280,1,12,2,2
281,1,16,0,2
282,0,15,3,4
283,0,18,3,4
284,0,16,1,1
285,0,18,3,3
286,1,18,1,2
287,1,15,1,0
288,1,14,0,2
289,1,13,3,0
290,0,17,3,0
291,1,15,2,1
292,1,16,0,2
293,0,15,3,3
294,1,18,2,4
295,0,14,1,3
296,1,16,1,3
297,1,17,1,3
298,1,16,0,0
299,1,16,2,4
300,1,16,2,4
301,1,16,2,3
302,0,17,3,0
303,1,13,2,3
304,1,16,3,2
305,0,16,3,1
